text;category;priority
Почему мне приходят рекламные сообщения ночью?.  Проблема повторяется уже несколько дней.;Спам;Низкий
Каждый день спамите акциями. Сколько можно ждать? Очень рассчитывал на ваш сервис.;Спам;Низкий
Списались деньги два раза за один заказ. Пожалуйста, помогите разобраться.;Оплата;Высокий
Постоянно получаю ненужные уведомления. Очень срочно! Никто не отвечает в чате поддержки.;Спам;Низкий
Платёж завис на этапе обработки. Прошу решить проблему как можно быстрее.;Оплата;Высокий
Платёж завис на этапе обработки. Пожалуйста, помогите разобраться.;Оплата;Высокий
Я не подписывался на эти письма.  Проблема повторяется уже несколько дней.;Спам;Низкий
Курьер не выходит на связь. Пожалуйста, помогите разобраться. Никто не отвечает в чате поддержки.;Доставка;Средний
Посылка повреждена. Что вообще происходит? С телефона и компьютера результат одинаковый.;Доставка;Средний
Мне привезли чужой заказ. Прошу решить проблему как можно быстрее. Очень рассчитывал на ваш сервис.;Доставка;Высокий
После оплаты заказ так и не появился. Прошу решить проблему как можно быстрее.;Оплата;Высокий
Постоянно получаю ненужные уведомления. Что вообще происходит? Никто не отвечает в чате поддержки.;Спам;Низкий
Не могу отследить заказ. Спасибо заранее. Никто не отвечает в чате поддержки.;Доставка;Средний
Не получается оплатить через Apple Pay.;Оплата;Высокий
Постоянно появляется неизвестная ошибка.;Техническая ошибка;Средний
Почему отменён платёж, если деньги уже ушли?. Сколько можно ждать? Раньше всё работало нормально.;Оплата;Высокий
При попытке оплаты появляется ошибка. Когда это наконец исправят?;Оплата;Высокий
Приложение зависает на загрузке.  Раньше всё работало нормально.;Техническая ошибка;Средний
Мне неинтересны ваши предложения. Пожалуйста, помогите разобраться.;Спам;Низкий
Заказ до сих пор не доставлен. Очень срочно! Это произошло сегодня около 14:13.;Доставка;Высокий
Постоянно появляется неизвестная ошибка. Что вообще происходит?;Техническая ошибка;Средний
Хватит отправлять рекламу. Спасибо заранее.;Спам;Низкий
Экран зависает после нажатия кнопки. Очень срочно!;Техническая ошибка;Высокий
Заказ до сих пор не доставлен. Спасибо заранее.;Доставка;Средний
Почему доставка перенесена без предупреждения?. Очень срочно! Это произошло сегодня около 4:11.;Доставка;Высокий
Приходят странные сообщения от вашего сервиса. Когда это наконец исправят? Пишу уже второй раз.;Спам;Низкий
Мне неинтересны ваши предложения.  Проблема повторяется уже несколько дней.;Спам;Низкий
Деньги списали, но подтверждения нет.;Оплата;Высокий
Получаю подозрительные письма якобы от вашей компании. Прошу решить проблему как можно быстрее. Раньше всё работало нормально.;Спам;Низкий
Списались деньги два раза за один заказ. Прошу решить проблему как можно быстрее. Пишу уже второй раз.;Оплата;Высокий
Заказ до сих пор не доставлен.  Номер заказа: 536808.;Доставка;Средний
Оплата не проходит уже третий раз. Что вообще происходит?;Оплата;Высокий
Сайт открывается очень медленно. Что вообще происходит?;Техническая ошибка;Средний
Уберите мой номер из рассылки. Пожалуйста, помогите разобраться.;Спам;Низкий
Посылка повреждена. Пожалуйста, помогите разобраться. Это произошло сегодня около 10:18.;Доставка;Средний
Хватит отправлять рекламу.;Спам;Низкий
Заказ до сих пор не доставлен. Сколько можно ждать?;Доставка;Высокий
Получаю подозрительные письма якобы от вашей компании. Я крайне недоволен сервисом. Проблема повторяется уже несколько дней.;Спам;Низкий
Не могу отследить заказ. Очень срочно! Номер заказа: 256378.;Доставка;Высокий
Почему мне приходят рекламные сообщения ночью?. Спасибо заранее. Никто не отвечает в чате поддержки.;Спам;Низкий
Верните деньги за отменённый заказ. Очень срочно!;Оплата;Высокий
Ваши уведомления уже надоели. Прошу решить проблему как можно быстрее. Раньше всё работало нормально.;Спам;Низкий
Ваши уведомления уже надоели. Это уже начинает раздражать. Пишу уже второй раз.;Спам;Низкий
Приходят странные сообщения от вашего сервиса. Когда это наконец исправят? С телефона и компьютера результат одинаковый.;Спам;Низкий
Не получается оплатить через Apple Pay. Когда это наконец исправят? Пишу уже второй раз.;Оплата;Высокий
Платёж завис на этапе обработки. Прошу решить проблему как можно быстрее. С телефона и компьютера результат одинаковый.;Оплата;Высокий
Деньги списали, но подтверждения нет. Спасибо заранее. Проблема повторяется уже несколько дней.;Оплата;Высокий
Доставка задерживается уже второй день. Прошу решить проблему как можно быстрее. Проблема повторяется уже несколько дней.;Доставка;Высокий
Уберите мой номер из рассылки. Спасибо заранее. С телефона и компьютера результат одинаковый.;Спам;Низкий
Не открывается личный кабинет. Что вообще происходит? Номер заказа: 576316.;Техническая ошибка;Средний
Деньги списали, но подтверждения нет. Пожалуйста, помогите разобраться. С телефона и компьютера результат одинаковый.;Оплата;Высокий
Почему отменён платёж, если деньги уже ушли?.;Оплата;Высокий
Получаю подозрительные письма якобы от вашей компании.  Пишу уже второй раз.;Спам;Низкий
Экран зависает после нажатия кнопки. Я крайне недоволен сервисом.;Техническая ошибка;Средний
Я не подписывался на эти письма. Что вообще происходит? Номер заказа: 811599.;Спам;Низкий
Постоянно появляется неизвестная ошибка. Прошу решить проблему как можно быстрее. Никто не отвечает в чате поддержки.;Техническая ошибка;Высокий
Списались деньги два раза за один заказ. Это уже начинает раздражать. Пишу уже второй раз.;Оплата;Высокий
Хватит отправлять рекламу. Я крайне недоволен сервисом. Номер заказа: 587391.;Спам;Низкий
Деньги списали, но подтверждения нет. Это уже начинает раздражать. Никто не отвечает в чате поддержки.;Оплата;Высокий
Не приходит код подтверждения. Очень срочно!;Техническая ошибка;Высокий
Постоянно появляется неизвестная ошибка. Очень срочно!;Техническая ошибка;Высокий
Мне неинтересны ваши предложения. Когда это наконец исправят? С телефона и компьютера результат одинаковый.;Спам;Низкий
Ваше приложение постоянно вылетает при оформлении. Я крайне недоволен сервисом. Номер заказа: 975881.;Техническая ошибка;Средний
Мне неинтересны ваши предложения. Я крайне недоволен сервисом.;Спам;Низкий
Каждый день спамите акциями. Это уже начинает раздражать.;Спам;Низкий
После обновления ничего не работает. Спасибо заранее. Проблема повторяется уже несколько дней.;Техническая ошибка;Средний
Не приходит код подтверждения. Спасибо заранее. Пишу уже второй раз.;Техническая ошибка;Средний
Доставка задерживается уже второй день. Очень срочно!;Доставка;Высокий
Не получается оплатить через Apple Pay. Сколько можно ждать? Это произошло сегодня около 9:08.;Оплата;Высокий
Каждый день спамите акциями. Я крайне недоволен сервисом. Никто не отвечает в чате поддержки.;Спам;Низкий
Мне неинтересны ваши предложения. Очень срочно! Никто не отвечает в чате поддержки.;Спам;Низкий
Почему доставка перенесена без предупреждения?. Спасибо заранее.;Доставка;Средний
Постоянно появляется неизвестная ошибка. Сколько можно ждать? С телефона и компьютера результат одинаковый.;Техническая ошибка;Высокий
Мне привезли чужой заказ. Сколько можно ждать? Проблема повторяется уже несколько дней.;Доставка;Высокий
Заказ отмечен как доставленный, но я ничего не получил. Спасибо заранее.;Доставка;Средний
Не приходит код подтверждения. Это уже начинает раздражать.;Техническая ошибка;Средний
Я не подписывался на эти письма. Пожалуйста, помогите разобраться.;Спам;Низкий
После обновления ничего не работает. Сколько можно ждать? Никто не отвечает в чате поддержки.;Техническая ошибка;Высокий
Платёж завис на этапе обработки. Спасибо заранее. Проблема повторяется уже несколько дней.;Оплата;Высокий
Почему отменён платёж, если деньги уже ушли?. Очень срочно! Очень рассчитывал на ваш сервис.;Оплата;Высокий
Не открывается личный кабинет. Пожалуйста, помогите разобраться. Раньше всё работало нормально.;Техническая ошибка;Средний
Ваши уведомления уже надоели. Прошу решить проблему как можно быстрее. Раньше всё работало нормально.;Спам;Низкий
Курьер опаздывает на час. Когда это наконец исправят? Это произошло сегодня около 21:44.;Доставка;Высокий
Не могу привязать карту к профилю.;Оплата;Высокий
Почему мне приходят рекламные сообщения ночью?. Я крайне недоволен сервисом. Это произошло сегодня около 0:51.;Спам;Низкий
Не могу восстановить пароль. Это уже начинает раздражать. Это произошло сегодня около 18:56.;Техническая ошибка;Средний
Сайт открывается очень медленно. Когда это наконец исправят? Проблема повторяется уже несколько дней.;Техническая ошибка;Высокий
Уберите мой номер из рассылки. Очень срочно! Это произошло сегодня около 18:30.;Спам;Низкий
После обновления ничего не работает. Что вообще происходит?;Техническая ошибка;Средний
Ошибка сервера при входе в приложение. Когда это наконец исправят? Номер заказа: 359655.;Техническая ошибка;Высокий
Почему доставка перенесена без предупреждения?. Пожалуйста, помогите разобраться. Никто не отвечает в чате поддержки.;Доставка;Средний
Почему доставка перенесена без предупреждения?. Сколько можно ждать?;Доставка;Высокий
После оплаты заказ так и не появился. Когда это наконец исправят? Это произошло сегодня около 17:04.;Оплата;Высокий
Курьер приехал не по тому адресу. Пожалуйста, помогите разобраться. Номер заказа: 866689.;Доставка;Средний
Постоянно получаю ненужные уведомления. Это уже начинает раздражать. Номер заказа: 661415.;Спам;Низкий
Мне привезли чужой заказ. Спасибо заранее. Раньше всё работало нормально.;Доставка;Средний
Ошибка сервера при входе в приложение. Спасибо заранее. Никто не отвечает в чате поддержки.;Техническая ошибка;Средний
Почему отменён платёж, если деньги уже ушли?. Пожалуйста, помогите разобраться.;Оплата;Высокий
Почему мне приходят рекламные сообщения ночью?. Что вообще происходит? Очень рассчитывал на ваш сервис.;Спам;Низкий
Заказ до сих пор не доставлен. Сколько можно ждать?;Доставка;Высокий
Доставка задерживается уже второй день. Когда это наконец исправят? Проблема повторяется уже несколько дней.;Доставка;Высокий
Почему доставка перенесена без предупреждения?. Когда это наконец исправят?;Доставка;Высокий
Курьер не выходит на связь. Когда это наконец исправят? Никто не отвечает в чате поддержки.;Доставка;Высокий
Не могу отследить заказ. Что вообще происходит?;Доставка;Средний
Оплата не проходит уже третий раз. Сколько можно ждать? Пишу уже второй раз.;Оплата;Высокий
После обновления ничего не работает. Это уже начинает раздражать. Никто не отвечает в чате поддержки.;Техническая ошибка;Средний
Не получается оплатить через Apple Pay. Пожалуйста, помогите разобраться.;Оплата;Высокий
Почему отменён платёж, если деньги уже ушли?. Сколько можно ждать?;Оплата;Высокий
Экран зависает после нажатия кнопки.  Это произошло сегодня около 5:46.;Техническая ошибка;Средний
Постоянно получаю ненужные уведомления. Что вообще происходит?;Спам;Низкий
Постоянно появляется неизвестная ошибка. Прошу решить проблему как можно быстрее. Пишу уже второй раз.;Техническая ошибка;Высокий
Ошибка сервера при входе в приложение. Что вообще происходит? Раньше всё работало нормально.;Техническая ошибка;Средний
Каждый день спамите акциями. Очень срочно! Это произошло сегодня около 18:20.;Спам;Низкий
Экран зависает после нажатия кнопки. Пожалуйста, помогите разобраться.;Техническая ошибка;Средний
Каждый день спамите акциями.  Никто не отвечает в чате поддержки.;Спам;Низкий
Платёж завис на этапе обработки. Прошу решить проблему как можно быстрее. С телефона и компьютера результат одинаковый.;Оплата;Высокий
Не могу привязать карту к профилю. Пожалуйста, помогите разобраться.;Оплата;Высокий
Мне неинтересны ваши предложения. Сколько можно ждать? Никто не отвечает в чате поддержки.;Спам;Низкий
Сайт открывается очень медленно. Когда это наконец исправят?;Техническая ошибка;Высокий
Постоянно появляется неизвестная ошибка. Что вообще происходит?;Техническая ошибка;Средний
Каждый день спамите акциями. Что вообще происходит?;Спам;Низкий
Почему мне приходят рекламные сообщения ночью?. Это уже начинает раздражать.;Спам;Низкий
Хватит отправлять рекламу. Что вообще происходит? Номер заказа: 491307.;Спам;Низкий
Курьер не выходит на связь. Это уже начинает раздражать. Номер заказа: 965736.;Доставка;Средний
Заказ отмечен как доставленный, но я ничего не получил. Это уже начинает раздражать. Это произошло сегодня около 14:03.;Доставка;Средний
Оплата не проходит уже третий раз. Спасибо заранее.;Оплата;Высокий
Оплата не проходит уже третий раз. Пожалуйста, помогите разобраться.;Оплата;Высокий
Не приходит код подтверждения. Очень срочно! Проблема повторяется уже несколько дней.;Техническая ошибка;Высокий
Доставка задерживается уже второй день. Пожалуйста, помогите разобраться.;Доставка;Средний
Уберите мой номер из рассылки.  Проблема повторяется уже несколько дней.;Спам;Низкий
Приложение зависает на загрузке. Сколько можно ждать?;Техническая ошибка;Высокий
Посылка повреждена. Спасибо заранее.;Доставка;Средний
Мне привезли чужой заказ. Очень срочно! Пишу уже второй раз.;Доставка;Высокий
Посылка повреждена. Когда это наконец исправят? Очень рассчитывал на ваш сервис.;Доставка;Высокий
Доставка задерживается уже второй день. Сколько можно ждать? Это произошло сегодня около 8:22.;Доставка;Высокий
Постоянно получаю ненужные уведомления. Спасибо заранее. Очень рассчитывал на ваш сервис.;Спам;Низкий
Списались деньги два раза за один заказ. Это уже начинает раздражать.;Оплата;Высокий
Доставка задерживается уже второй день.  Очень рассчитывал на ваш сервис.;Доставка;Средний
Приходят странные сообщения от вашего сервиса.;Спам;Низкий
Ошибка сервера при входе в приложение. Я крайне недоволен сервисом. Пишу уже второй раз.;Техническая ошибка;Средний
Не получается оплатить через Apple Pay. Что вообще происходит? Пишу уже второй раз.;Оплата;Высокий
Постоянно получаю ненужные уведомления. Пожалуйста, помогите разобраться. С телефона и компьютера результат одинаковый.;Спам;Низкий
Сайт открывается очень медленно. Сколько можно ждать?;Техническая ошибка;Высокий
Мне неинтересны ваши предложения. Спасибо заранее. Номер заказа: 258212.;Спам;Низкий
Приложение зависает на загрузке. Это уже начинает раздражать. Пишу уже второй раз.;Техническая ошибка;Средний
Ошибка сервера при входе в приложение.;Техническая ошибка;Средний
Верните деньги за отменённый заказ. Что вообще происходит? Проблема повторяется уже несколько дней.;Оплата;Высокий
Ваши уведомления уже надоели. Сколько можно ждать?;Спам;Низкий
Не могу привязать карту к профилю. Когда это наконец исправят?;Оплата;Высокий
Доставка задерживается уже второй день. Сколько можно ждать? Пишу уже второй раз.;Доставка;Высокий
Ошибка сервера при входе в приложение.  Раньше всё работало нормально.;Техническая ошибка;Средний
Почему мне приходят рекламные сообщения ночью?.  Очень рассчитывал на ваш сервис.;Спам;Низкий
Получаю подозрительные письма якобы от вашей компании. Прошу решить проблему как можно быстрее.;Спам;Низкий
Приходят странные сообщения от вашего сервиса. Пожалуйста, помогите разобраться. Никто не отвечает в чате поддержки.;Спам;Низкий
Хватит отправлять рекламу. Я крайне недоволен сервисом.;Спам;Низкий
Приложение зависает на загрузке. Спасибо заранее. Раньше всё работало нормально.;Техническая ошибка;Средний
Почему мне приходят рекламные сообщения ночью?. Спасибо заранее. Очень рассчитывал на ваш сервис.;Спам;Низкий
Доставка задерживается уже второй день. Пожалуйста, помогите разобраться. Проблема повторяется уже несколько дней.;Доставка;Средний
Экран зависает после нажатия кнопки. Очень срочно!;Техническая ошибка;Высокий
При попытке оплаты появляется ошибка. Что вообще происходит? Это произошло сегодня около 4:30.;Оплата;Высокий
Приходят странные сообщения от вашего сервиса. Что вообще происходит? Раньше всё работало нормально.;Спам;Низкий
Почему доставка перенесена без предупреждения?. Я крайне недоволен сервисом.;Доставка;Средний
Не могу привязать карту к профилю. Очень срочно! Очень рассчитывал на ваш сервис.;Оплата;Высокий
После обновления ничего не работает. Что вообще происходит? Никто не отвечает в чате поддержки.;Техническая ошибка;Средний
Ваши уведомления уже надоели. Когда это наконец исправят?;Спам;Низкий
Доставка задерживается уже второй день. Сколько можно ждать? Никто не отвечает в чате поддержки.;Доставка;Высокий
Списались деньги два раза за один заказ.  Раньше всё работало нормально.;Оплата;Высокий
Деньги списали, но подтверждения нет. Что вообще происходит? Очень рассчитывал на ваш сервис.;Оплата;Высокий
Ваши уведомления уже надоели. Когда это наконец исправят? Проблема повторяется уже несколько дней.;Спам;Низкий
Почему отменён платёж, если деньги уже ушли?. Очень срочно! С телефона и компьютера результат одинаковый.;Оплата;Высокий
После оплаты заказ так и не появился. Пожалуйста, помогите разобраться. Это произошло сегодня около 18:30.;Оплата;Высокий
Ваше приложение постоянно вылетает при оформлении. Пожалуйста, помогите разобраться. Проблема повторяется уже несколько дней.;Техническая ошибка;Средний
После обновления ничего не работает. Это уже начинает раздражать.;Техническая ошибка;Средний
Не могу отследить заказ. Сколько можно ждать? Номер заказа: 271574.;Доставка;Высокий
Курьер приехал не по тому адресу.;Доставка;Средний
Курьер не выходит на связь. Я крайне недоволен сервисом.;Доставка;Средний
Почему мне приходят рекламные сообщения ночью?.;Спам;Низкий
Ваши уведомления уже надоели. Спасибо заранее. Номер заказа: 961994.;Спам;Низкий
Оплата не проходит уже третий раз. Что вообще происходит? Это произошло сегодня около 3:54.;Оплата;Высокий
Деньги списали, но подтверждения нет. Спасибо заранее. Очень рассчитывал на ваш сервис.;Оплата;Высокий
Экран зависает после нажатия кнопки. Спасибо заранее.;Техническая ошибка;Средний
Верните деньги за отменённый заказ. Спасибо заранее.;Оплата;Высокий
Каждый день спамите акциями. Прошу решить проблему как можно быстрее. Очень рассчитывал на ваш сервис.;Спам;Низкий
Не приходит код подтверждения. Очень срочно!;Техническая ошибка;Высокий
Экран зависает после нажатия кнопки. Пожалуйста, помогите разобраться.;Техническая ошибка;Средний
Постоянно появляется неизвестная ошибка.  С телефона и компьютера результат одинаковый.;Техническая ошибка;Средний
Платёж завис на этапе обработки.  Пишу уже второй раз.;Оплата;Высокий
Почему отменён платёж, если деньги уже ушли?. Спасибо заранее. С телефона и компьютера результат одинаковый.;Оплата;Высокий
Постоянно появляется неизвестная ошибка. Это уже начинает раздражать. Раньше всё работало нормально.;Техническая ошибка;Средний
Постоянно появляется неизвестная ошибка. Прошу решить проблему как можно быстрее.;Техническая ошибка;Высокий
Оплата не проходит уже третий раз. Очень срочно!;Оплата;Высокий
При попытке оплаты появляется ошибка. Спасибо заранее. Это произошло сегодня около 22:04.;Оплата;Высокий
Посылка повреждена. Прошу решить проблему как можно быстрее.;Доставка;Высокий
Приходят странные сообщения от вашего сервиса. Прошу решить проблему как можно быстрее. С телефона и компьютера результат одинаковый.;Спам;Низкий
После оплаты заказ так и не появился. Это уже начинает раздражать.;Оплата;Высокий
Приложение зависает на загрузке. Прошу решить проблему как можно быстрее.;Техническая ошибка;Высокий
Курьер приехал не по тому адресу. Я крайне недоволен сервисом. Никто не отвечает в чате поддержки.;Доставка;Средний
Экран зависает после нажатия кнопки. Когда это наконец исправят?;Техническая ошибка;Высокий
Курьер не выходит на связь. Сколько можно ждать? Проблема повторяется уже несколько дней.;Доставка;Высокий
Не могу восстановить пароль. Пожалуйста, помогите разобраться. Никто не отвечает в чате поддержки.;Техническая ошибка;Средний
Не могу отследить заказ. Сколько можно ждать? Проблема повторяется уже несколько дней.;Доставка;Высокий
После обновления ничего не работает. Я крайне недоволен сервисом.;Техническая ошибка;Средний
Почему отменён платёж, если деньги уже ушли?. Что вообще происходит? Пишу уже второй раз.;Оплата;Высокий
Не получается оплатить через Apple Pay. Когда это наконец исправят? Раньше всё работало нормально.;Оплата;Высокий
Ошибка сервера при входе в приложение. Когда это наконец исправят? Очень рассчитывал на ваш сервис.;Техническая ошибка;Высокий
Почему отменён платёж, если деньги уже ушли?. Что вообще происходит?;Оплата;Высокий
Списались деньги два раза за один заказ. Пожалуйста, помогите разобраться. Пишу уже второй раз.;Оплата;Высокий
Курьер не выходит на связь. Спасибо заранее. Никто не отвечает в чате поддержки.;Доставка;Средний
Получаю подозрительные письма якобы от вашей компании. Что вообще происходит? Никто не отвечает в чате поддержки.;Спам;Низкий
Не могу восстановить пароль. Спасибо заранее. Проблема повторяется уже несколько дней.;Техническая ошибка;Средний
Ошибка сервера при входе в приложение. Очень срочно! Номер заказа: 263754.;Техническая ошибка;Высокий
Почему отменён платёж, если деньги уже ушли?. Очень срочно! С телефона и компьютера результат одинаковый.;Оплата;Высокий
При попытке оплаты появляется ошибка. Я крайне недоволен сервисом. Пишу уже второй раз.;Оплата;Высокий
Сайт открывается очень медленно. Очень срочно! Проблема повторяется уже несколько дней.;Техническая ошибка;Высокий
Мне неинтересны ваши предложения. Пожалуйста, помогите разобраться. Это произошло сегодня около 16:04.;Спам;Низкий
Получаю подозрительные письма якобы от вашей компании. Очень срочно! Проблема повторяется уже несколько дней.;Спам;Низкий
Доставка задерживается уже второй день. Спасибо заранее.;Доставка;Средний
Ваше приложение постоянно вылетает при оформлении. Я крайне недоволен сервисом.;Техническая ошибка;Средний
Не получается оплатить через Apple Pay. Это уже начинает раздражать. Проблема повторяется уже несколько дней.;Оплата;Высокий
Ошибка сервера при входе в приложение.  Это произошло сегодня около 9:30.;Техническая ошибка;Средний
Ваши уведомления уже надоели. Я крайне недоволен сервисом. С телефона и компьютера результат одинаковый.;Спам;Низкий
Оплата не проходит уже третий раз.;Оплата;Высокий
Постоянно появляется неизвестная ошибка. Пожалуйста, помогите разобраться.;Техническая ошибка;Средний
Посылка повреждена. Я крайне недоволен сервисом. Пишу уже второй раз.;Доставка;Средний
Не получается оплатить через Apple Pay. Сколько можно ждать?;Оплата;Высокий
Постоянно появляется неизвестная ошибка. Очень срочно! Никто не отвечает в чате поддержки.;Техническая ошибка;Высокий
Верните деньги за отменённый заказ. Сколько можно ждать? С телефона и компьютера результат одинаковый.;Оплата;Высокий
Не могу привязать карту к профилю. Сколько можно ждать?;Оплата;Высокий
Почему отменён платёж, если деньги уже ушли?. Я крайне недоволен сервисом. Пишу уже второй раз.;Оплата;Высокий
Приложение зависает на загрузке. Пожалуйста, помогите разобраться. Раньше всё работало нормально.;Техническая ошибка;Средний
Не могу отследить заказ. Это уже начинает раздражать.;Доставка;Средний
Сайт открывается очень медленно. Сколько можно ждать? Пишу уже второй раз.;Техническая ошибка;Высокий
Приложение зависает на загрузке. Когда это наконец исправят?;Техническая ошибка;Высокий
Курьер приехал не по тому адресу.  Номер заказа: 411829.;Доставка;Средний
Я не подписывался на эти письма. Сколько можно ждать? Никто не отвечает в чате поддержки.;Спам;Низкий
Не приходит код подтверждения. Что вообще происходит? Очень рассчитывал на ваш сервис.;Техническая ошибка;Средний
Получаю подозрительные письма якобы от вашей компании. Очень срочно! Проблема повторяется уже несколько дней.;Спам;Низкий
Не приходит код подтверждения. Пожалуйста, помогите разобраться.;Техническая ошибка;Средний
Посылка повреждена. Спасибо заранее.;Доставка;Средний
Экран зависает после нажатия кнопки. Прошу решить проблему как можно быстрее.;Техническая ошибка;Высокий
Верните деньги за отменённый заказ. Спасибо заранее.;Оплата;Высокий
Не получается оплатить через Apple Pay. Что вообще происходит?;Оплата;Высокий
Не могу отследить заказ. Я крайне недоволен сервисом. Очень рассчитывал на ваш сервис.;Доставка;Средний
Мне привезли чужой заказ. Сколько можно ждать? Очень рассчитывал на ваш сервис.;Доставка;Высокий
Не могу восстановить пароль. Когда это наконец исправят? Это произошло сегодня около 8:28.;Техническая ошибка;Высокий
Хватит отправлять рекламу. Спасибо заранее. Очень рассчитывал на ваш сервис.;Спам;Низкий
Не могу восстановить пароль. Сколько можно ждать? Очень рассчитывал на ваш сервис.;Техническая ошибка;Высокий
Заказ до сих пор не доставлен. Очень срочно! Проблема повторяется уже несколько дней.;Доставка;Высокий
Хватит отправлять рекламу. Что вообще происходит?;Спам;Низкий
Курьер не выходит на связь. Прошу решить проблему как можно быстрее.;Доставка;Высокий
После обновления ничего не работает. Я крайне недоволен сервисом. Проблема повторяется уже несколько дней.;Техническая ошибка;Средний
Курьер приехал не по тому адресу. Когда это наконец исправят? Номер заказа: 596045.;Доставка;Высокий
